row id;Exact mass;m/z;rt;Metaboscape annotation;Putative annotation;Metaboanalyst name (#_mz_rt);VIP_class;VIP_zone_demospongiae;VIP_zone_Hexactinellida;CSI:FingerIDScore;molecularFormulaSIRIUS;nameSIRIUS;linksSIRIUS
2507;271.18052;272.1878;1337.15;4-Oxo-4-((3-oxodecan-2-yl)amino)butanoic acid;;2507_272.1878_1337.15;;0.61362;0.52741;;;;
2555;271.18085;272.18812;1355.12;4-Oxo-4-((3-oxodecan-2-yl)amino)butanoic acid;;2555_272.18812_1355.12;;2.5472;0.56044;;;;
1451;485.34491;486.35218;1319.24;4-Quinazolinamine, 7-[3-(dimethylamino)propoxy]-2-(hexahydro-4-methyl-1H-1,4-diazepin-1-yl)-6-methoxy-N-(1-methyl-4-piperidinyl)-;;1451_486.35218_1319.24;;;;;;;
1685;225.12967;226.13695;72.12;5-(3-Cyclohexylpropyl)-1,3,4-thiadiazol-2-ylamine;;1685_226.13695_72.12;;;;;;;
71;436.21191;437.21919;6.82;5-Ethenyl-3-hydroxy-4-(3-hydroxyprop-1-en-2-yl)-2-(3-methoxy-3-oxoprop-1-en-2-yl)-5-methylcyclohexyl (2Z)-4-(acetyloxy)-2-methylbut-2-enoate;;71_437.21919_6.82;;;;;;;
1665;275.12671;276.13398;72.03;5-Methoxycarbonylamino-N-acetyltryptamine;;1665_276.13398_72.03;;;;;;;
895;154.06159;155.06886;867.85;5-Nitrosopyrimidine-2,4,6-triamine;;895_155.06886_867.85;;;;;;;
444;297.0877;298.09498;264.42;5-S-Methylthioadenosine;;444_298.09498_264.42;;;;;;;
1023;188.15241;189.15969;1078.83;7,8-Diaminononanoic acid;;1023_189.15969_1078.83;;;;;;;
417;152.04517;153.05245;122.56;8-Azaguanine;;417_153.05245_122.56;;;;;;;
114;1083.77033;1084.77761;6.98;AHexCer (O-20:6)17:1;;114_1084.77761_6.98;;0.27089;0.72212;;;;
242;1314.07599;1315.08327;7.31;AHexCer (O-30:4)17:1;;242_1315.08327_7.31;;;;;;;
917;592.3183;593.32558;933.51;Ajudazol B;;917_593.32558_933.51;;;;;;;
1312;227.18666;228.19393;1289.41;Andrachcinidine;;1312_228.19393_1289.41;;0.14572;1.1184;;;;
1053;310.15449;311.16177;1121.77;Avobenzone (Parsol 1789);;1053_311.16177_1121.77;;0.36933;0.18738;-270.2266763;C13H19FN6O2;null;PubChem:(132410358)
34;383.18575;384.19303;6.31;Benzoic acid, 3-[(3-methoxybenzoyl)amino]-4-(4-methyl-1-piperazinyl)-, methyl ester;;34_384.19303_6.31;;0.27264;0.011534;;;;
1699;226.09477;227.10205;71.96;Carbidopa;;1699_227.10205_71.96;;;;-129.2803045;C8H19O5P;null;PubChem:(87674405 129384975 129384976)
53;883.80718;884.81445;6.62;Cer 29:1;;53_884.81445_6.62;;0.27397;0.78169;;;;
